Source,Critical Mineral,Primary Applications,Category_Note
MCS2023,Aluminum,Metallugical applications but also many sectors of the economy.,
MCS2023,Antimony,Flame retardants and lead-acid batteries.,
MCS2023,Arsenic,Semiconductor applications.,
MCS2023,Barite,Hydrocarbon production applications.,
MCS2023,Beryllium,Aerospace and defense applications.,
MCS2023,Bismuth,Medical and netallugical applications and atomic research.,
MCS2023,Cerium,"Catalytic converters, ceramics, glass, metallurgy and polishing compound applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Cesium,Hydrocarbon production applications and research and development.,
MCS2023,Chromium,Metallugical applications.,
MCS2023,Cobalt,Battery and metallurgical applications.,
MCS2023,Dysprosium,"Data storage devices, laser applications, and permanent magnets.",Included in the Rare Earths chapter in this publication.
MCS2023,Erbium,"Fiber optics, glass colorant applications, laser, and optical amplifiers.",Included in the Rare Earths chapter in this publication.
MCS2023,Europium,Nuclear control rods and phophors applications.,Included in the Rare Earths chapter in this publication.
MCS2023,Fluorspar,"Cement, industrial chemical, and metallurgical applications.",
MCS2023,Gadolinium,"Medical imaging, metallurgical applications and permanent magnets.",Included in the Rare Earths chapter in this publication.
MCS2023,Gallium,Integrated circuits and optical device applications.,
MCS2023,Germanium,Defense and fiber optics applications.,
MCS2023,Graphite,"Battery, fuel cells, and lubricant applications.",
MCS2023,Hafnium,"Ceramics, nuclear control rod and metallurgical applications.",
MCS2023,Holmium,"Lasers, nuclear applications, and permanent magnets.",Included in the Rare Earths chapter in this publication.
MCS2023,Indium,Liquid crystal display applications.,
MCS2023,Iridium,Anode coatings for electrochemical processes and chemical catalyst applications.,Included in the Platinum-Group Metals chapter in this publication.
MCS2023,Lanthanum,"Battery, catalyst, ceramics, glass, and metallurgical applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Lithium,Battery applications.,
MCS2023,Lutetium,"Cancer therapies, electronics and medical imaging applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Magnesium,Metallurgical applications.,
MCS2023,Manganese,Battery and metallurgical applications.,
MCS2023,Neodymium,"Catalysts, laser applications and permanent magnets.",Included in the Rare Earths chapter in this publication.
MCS2023,Nickel,Battery and metallurgical applications.,
MCS2023,Niobium,Metallurgical applications.,
MCS2023,Palladium,Catalytic converters and catalyst applications.,Included in the Platinum-Group Metals chapter in this publication.
MCS2023,Platinum,Catalytic converters applications.,Included in the Platinum-Group Metals chapter in this publication.
MCS2023,Praseodymium,"Aerspace alloys, batteries, ceramics, and permanent magnet applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Rhodium,"Catalytic converters, catalyst, and electrical component applications.",Included in the Platinum-Group Metals chapter in this publication.
MCS2023,Rubidium,Electronic research and development applications.,
MCS2023,Ruthenium,Catalyst and electronic and computer chip applications.,Included in the Platinum-Group Metals chapter in this publication.
MCS2023,Samarium,"Cancer treatments, nuclear, and permanent magnet applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Scandium,"Ceramics, fuel cells, and metallurgical applications.",
MCS2023,Tantalum,Capacitors and metallurgical applications.,
MCS2023,Tellurium,"Metallurgical applications, Solar cells, and thermoelectric devices.",
MCS2023,Terbium,"Fiber optics, lasers, permanent magnets,  and solid state device applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Thulium,Laser and metallurgical applications.,Included in the Rare Earths chapter in this publication.
MCS2023,Tin,Metallurgical applications.,
MCS2023,Titanium,Metallurgical and pigment applications.,
MCS2023,Tungsten,Metallurgical applications.,
MCS2023,Vanadium,Battery and metallurgical applications.,
MCS2023,Ytterbium ,"Catalyst, laser, metallurgical, and scintillator applications.",Included in the Rare Earths chapter in this publication.
MCS2023,Yttrium,"Catalyst, ceramics, laser, metallurgical, and phosphors applications.",
MCS2023,Zinc,Metallurgical applications.,
MCS2023,Zirconium,Metallurgical and nuclear applications.,
